seriesID       ,area_code,item_code,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
APU0000704413,0,704413,"Shoulder picnic, bone-in, smoked, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1997,M12
APU0000704421,0,704421,"Sausage, fresh, loose, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2002,M09
APU0000705111,0,705111,"Frankfurters, all meat or all beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000705121,0,705121,"Bologna, all beef or mixed, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2019,M09
APU0000705141,0,705141,"Beef liver (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1988,M10
APU0000705142,0,705142,"Lamb and mutton, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1991,M01,1994,M01
APU0000706111,0,706111,"Chicken, fresh, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000706211,0,706211,"Chicken breast, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2011,M10
APU0000706212,0,706212,"Chicken legs, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000706311,0,706311,"Turkey, frozen, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2020,M02
APU0000707111,0,707111,"Tuna, light, chunk, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2017,M09
APU0000708111,0,708111,"Eggs, grade A, large, per doz. in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000708112,0,708112,"Eggs, grade AA, large, per doz. in U.S. city average, average price, not seasonally adjusted",,1980,M01,1997,M12
APU0000709111,0,709111,"Milk, fresh, whole, fortified, per 1/2 gal. (1.9 lit) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1997,M12
APU0000709112,0,709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2021,M10
APU0000709211,0,709211,"Milk, fresh, skim (cost per one-half gallon/1.9 liters) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M05
APU0000709212,0,709212,"Milk, fresh, low fat, per 1/2 gal. (1.9 lit) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1992,M09
APU0000709213,0,709213,"Milk, fresh, low fat, per gal. (3.8 lit) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2002,M10
APU0000710111,0,710111,"Butter, salted, grade AA, stick, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2012,M04
APU0000710122,0,710122,"Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2003,M03
APU0000710211,0,710211,"American processed cheese, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2021,M10
APU0000710212,0,710212,"Cheddar cheese, natural, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2021,M10
APU0000710411,0,710411,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000711111,0,711111,"Apples, Red Delicious, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2017,M10
APU0000711211,0,711211,"Bananas, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000711311,0,711311,"Oranges, Navel, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000711312,0,711312,"Oranges, Valencia, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M06,2013,M08
APU0000711411,0,711411,"Grapefruit, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2020,M02
APU0000711412,0,711412,"Lemons, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000711413,0,711413,"Pears, Anjou, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2019,M07
APU0000711414,0,711414,"Peaches, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M06,2020,M08
APU0000711415,0,711415,"Strawberries, dry pint, per 12 oz. (340.2 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M04,2021,M10
APU0000711416,0,711416,"Grapes, Emperor or Tokay (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1987,M12
APU0000711417,0,711417,"Grapes, Thompson Seedless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M07,2021,M09
APU0000711418,0,711418,"Cherries, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M06,2019,M07
APU0000712111,0,712111,"Potatoes, white (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M02
APU0000712112,0,712112,"Potatoes, white, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1986,M03,2021,M10
APU0000712211,0,712211,"Lettuce, iceberg, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2020,M02
APU0000712311,0,712311,"Tomatoes, field grown, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000712401,0,712401,"Cabbage, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2012,M10
APU0000712402,0,712402,"Celery, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2012,M10
APU0000712403,0,712403,"Carrots, short trimmed and topped, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2014,M03
APU0000712404,0,712404,"Onions, dry yellow, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1997,M12
APU0000712405,0,712405,"Onions, green scallions (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1987,M07
APU0000712406,0,712406,"Peppers, sweet, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2020,M03
APU0000712407,0,712407,"Corn on the cob, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M04,1988,M06
APU0000712408,0,712408,"Radishes (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1989,M02
APU0000712409,0,712409,"Cucumbers, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2000,M04
APU0000712410,0,712410,"Beans, green, snap (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1989,M02
APU0000712411,0,712411,"Mushrooms (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M01
APU0000712412,0,712412,"Broccoli, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2020,M03
APU0000713111,0,713111,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000713311,0,713311,"Apple Sauce, any variety, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,1997,M12
APU0000713312,0,713312,"Peaches, any variety, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,1997,M12
APU0000714111,0,714111,"Potatoes, frozen, French fried, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2005,M02
APU0000714221,0,714221,"Corn, canned, any style, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2015,M04
APU0000714231,0,714231,"Tomatoes, canned, whole, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1988,M02
APU0000714232,0,714232,"Tomatoes, canned, any type, all sizes,  per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,1997,M12
APU0000714233,0,714233,"Beans, dried, any type, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2021,M10
APU0000715111,0,715111,"Hard candy, solid (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M11
APU0000715211,0,715211,"Sugar, white, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000715212,0,715212,"Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000715311,0,715311,"Jelly (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000716111,0,716111,"Margarine, vegetable oil blends, stick (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000716113,0,716113,"Margarine, vegetable oil blends, soft, tubs (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1980,M12
APU0000716114,0,716114,"Margarine, stick, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2014,M05
APU0000716116,0,716116,"Margarine, soft, tubs, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2019,M10
APU0000716121,0,716121,"Shortening, vegetable oil blends, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2005,M04
APU0000716141,0,716141,"Peanut butter, creamy, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1984,M01,2017,M12
APU0000717111,0,717111,"Cola, non-diet, return bottles, 6 or 8 pack (cost per 16 ounces/473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M07
APU0000717112,0,717112,"Cola, non diet, return bottles, 24-40 ounce (cost per 16 ounces/473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0000717113,0,717113,"Cola, nondiet, cans, 72 oz. 6 pk., per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1992,M02
APU0000717114,0,717114,"Cola, nondiet, per 2 liters (67.6 oz) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2009,M05
APU0000717311,0,717311,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000717312,0,717312,"Coffee, 100%, ground roast, 13.1-20 oz. can, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1988,M08
APU0000717324,0,717324,"Coffee, instant, plain, regular, 6.1-14 ounce (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1984,M01,1987,M11
APU0000717325,0,717325,"Coffee, freeze dried, regular, all sizes (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1984,M01,1984,M09
APU0000717326,0,717326,"Coffee, freeze dried, decaf., all sizes (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1984,M01,1985,M11
APU0000717327,0,717327,"Coffee, instant, plain, regular, all sizes, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2003,M09
APU0000717411,0,717411,"Coffee, instant, plain, 9.1-14 ounce (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1982,M12
APU0000717412,0,717412,"Coffee, instant, plain, 3.1-6 ounce (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1981,M08
APU0000717413,0,717413,"Coffee, freeze dried, plain, 3.1-9 ounce (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1983,M10
APU0000718311,0,718311,"Potato chips, per 16 oz. in U.S. city average, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0000718631,0,718631,"Pork and beans, canned (cost per 16 ounces/453.6 grams) in U.S. city average, average price, not seasonally adjusted",,1980,M01,1986,M01
APU0000720111,0,720111,"Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2021,M10
APU0000720211,0,720211,"Bourbon whiskey, 375 ml-1.75 liter (cost per 25.4 ounces/750 ml) in U.S. city average, average price, not seasonally adjusted",,1985,M12,1986,M12
APU0000720221,0,720221,"Vodka, domestic, 375 ml-1.75 liter (cost per 25.4 ounces/750 ml) in U.S. city average, average price, not seasonally adjusted",,1985,M12,1986,M12
APU0000720222,0,720222,"Vodka, all types, all sizes, any origin, per 1 liter (33.8 oz) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2020,M06
APU0000720311,0,720311,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz) in U.S. city average, average price, not seasonally adjusted",,1995,M07,2021,M10
APU000072511,0,72511,"Fuel oil #2 per gallon (3.785 liters) in U.S. city average, average price, not seasonally adjusted",,1978,M11,2021,M10
APU000072601,0,72601,"Utility (piped) gas - 40 therms in U.S. city average, average price, not seasonally adjusted",,1978,M11,2013,M06
APU000072610,0,72610,"Electricity per KWH in U.S. city average, average price, not seasonally adjusted",,1978,M11,2021,M10
APU000072611,0,72611,"Utility (piped) gas - 100 therms in U.S. city average, average price, not seasonally adjusted",,1978,M11,2013,M06
APU000072620,0,72620,"Utility (piped) gas per therm in U.S. city average, average price, not seasonally adjusted",,1978,M11,2021,M10
APU000072621,0,72621,"Electricity per 500 KWH in U.S. city average, average price, not seasonally adjusted",,1978,M11,2013,M06
APU000074712,0,74712,"Gasoline, leaded regular (cost per gallon/3.8 liters) in U.S. city average, average price, not seasonally adjusted",,1973,M10,1991,M04
APU000074713,0,74713,"Gasoline, leaded premium (cost per gallon/3.8 liters) in U.S. city average, average price, not seasonally adjusted",,1973,M10,1983,M12
APU000074714,0,74714,"Gasoline, unleaded regular, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,1976,M01,2021,M10
APU000074715,0,74715,"Gasoline, unleaded midgrade, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,1993,M12,2021,M10
APU000074716,0,74716,"Gasoline, unleaded premium, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,1981,M09,2021,M10
APU000074717,0,74717,"Automotive diesel fuel, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU00007471A,0,7471A,"Gasoline, all types, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,1978,M01,2021,M10
APU0000FC1101,0,FC1101,"All uncooked ground beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FC2101,0,FC2101,"All Uncooked Beef Roasts, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FC3101,0,FC3101,"All Uncooked Beef Steaks, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FC4101,0,FC4101,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FD2101,0,FD2101,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FD3101,0,FD3101,"All Pork Chops, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FD4101,0,FD4101,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,1998,M01,2021,M10
APU0000FF1101,0,FF1101,"Chicken breast, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,2006,M01,2021,M10
APU0000FJ1101,0,FJ1101,"Milk, fresh, low-fat, reduced fat, skim, per gal. (3.8 lit) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2021,M10
APU0000FJ4101,0,FJ4101,"Yogurt, per 8 oz. (226.8 gm) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2021,M10
APU0000FL2101,0,FL2101,"Lettuce, romaine, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,2006,M01,2020,M02
APU0000FN1101,0,FN1101,"All soft drinks, per 2 liters (67.6 oz) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2021,M10
APU0000FN1102,0,FN1102,"All soft drinks, 12 pk, 12 oz., cans, per 12 oz. (354.9 ml) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2021,M10
APU0000FS1101,0,FS1101,"Butter, stick, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,2018,M04,2021,M10
APU0100701111,100,701111,"Flour, white, all purpose, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,2016,M10
APU0100701311,100,701311,"Rice, white, long grain, precooked (cost per pound/453.6 grams) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1985,M11
APU0100701312,100,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1997,M09
APU0100701321,100,701321,"Spaghetti (cost per pound/453.6 grams) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1980,M10
APU0100701322,100,701322,"Spaghetti and macaroni, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1984,M01,2021,M10
APU0100702111,100,702111,"Bread, white, pan, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0100702212,100,702212,"Bread, whole wheat, pan, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M12,2016,M10
APU0100702221,100,702221,"Rolls, hamburger (cost per pound/453.6 grams) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0100702411,100,702411,"Cupcakes, chocolate (cost per pound/453.6 grams) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1985,M05
APU0100702421,100,702421,"Cookies, chocolate chip, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1987,M03
APU0100702611,100,702611,"Crackers, soda, salted, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1981,M12
APU0100703111,100,703111,"Ground chuck, 100% beef, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,2016,M10
APU0100703112,100,703112,"Ground beef, 100% beef, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1984,M03,2021,M10
APU0100703113,100,703113,"Ground beef, lean and extra lean, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1991,M01,2015,M12
APU0100703211,100,703211,"Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1989,M02
APU0100703213,100,703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1989,M01,2016,M09
APU0100703311,100,703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,2018,M04
APU0100703411,100,703411,"Rib roast, USDA Choice, bone-in, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1995,M11
APU0100703421,100,703421,"Steak, chuck, U.S. choice, bone-in (cost per pound/453.6 grams) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1986,M12
APU0100703422,100,703422,"Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1985,M10
APU0100703423,100,703423,"Steak, porterhouse, U.S. choice, bone-in (cost per pound/453.6 grams) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1987,M07
APU0100703425,100,703425,"Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1991,M01,1992,M01
APU0100703431,100,703431,"Short ribs, any primal source, bone-in, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1991,M11,1991,M11
APU0100703432,100,703432,"Beef for stew, boneless, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,2012,M11,2013,M07
APU0100703511,100,703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,2021,M10
APU0100703512,100,703512,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1994,M02,1994,M07
APU0100703611,100,703611,"Steak, sirloin, USDA Choice, bone-in, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1980,M01,1997,M09
APU0100703612,100,703612,"Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in Northeast urban, average price, not seasonally adjusted",,1994,M11,1995,M11
